D	x	y
597	463287093751	18961078500
598	1574351	64380
599	24686379794520	1008658133851
600	49	2
601	38902815462492318420311478049	1586878942101888360258625080
602	687	28
603	48842	1989
604	5972991296311683199	243037569063951720
605	930249	37820
606	42187499	1713750
607	164076033968	6659640783
608	2737	111
609	605695	24544
610	10323982819	418005846
611	236926	9585
612	2177	88
613	464018873584078278910994299849	18741545784831997880308784340
614	348291186245	14055888354
615	124	5
616	21295	858
617	3363593612801313	135413180018248
618	10093	406
619	517213510553282930	20788566180548739
620	249	10
621	7775	312
622	13804370063	553504812
623	624	25
624	25	1
626	1251	50
627	626	25
628	46698728731849	1863482146110
629	123245001	4914100
630	251	10
631	48961575312998650035560	1949129537575151036427
632	7743	308
633	440772247	17519124
634	8711856945587257031251	345992039259400361250
635	126	5
636	3505951	139020
637	1419278889601	56233877040
638	42283	1674
639	24220799	958160
640	1039681	41097
641	2609429220845977814049	103066257550962737720
642	5777	228
643	1988960193026	78436933185
644	11775	464
645	1024001	40320
646	305	12
647	120187368	4725053
648	19601	770
649	1123593226162199	44104892095380
650	51	2
651	1735	68
652	8212499464321351	321626301297510
653	10499986568677299849	410896226494013260
654	8915765	348634
655	737709209	28824684
656	2049	80
657	2281249	89000
658	1693	66
659	5930	231
660	1079	42
661	16421658242965910275055840472270471049	638728478116949861246791167518480580
662	1718102501	66775950
663	103	4
664	1700902565	66007821
665	13719	532
666	27365201	1060380
667	107119097	4147668
668	56447	2184
669	14226117859054135	550013492618436
670	5791211	223734
671	58620	2263
672	337	13
673	4765506835465395993032041249	183696788896587421699032600
674	675	26
675	26	1
677	1353	52
678	677	26
679	17792625320	682818291
680	339	13
681	10743166003415	411679015748
682	1197901	45870
683	170067682	6507459
684	57799	2210
685	95592800063517769	3652413145693884
686	10850138895	414260228
687	165337	6308
688	24248647	924471
689	105	4
690	1471	56
691	31138100617500578690	1184549173291009383
692	2499849	95030
693	246401	9360
694	38782105445014642382885	1472148590903997672114
695	33639	1276
696	1451	55
697	34849	1320
698	51999603	1968214
699	2271050	85899
700	8193151	309672
701	277631049	10485980
702	53	2
703	1159172	43719
704	79201	2985
705	237161	8932
706	34595	1302
707	2526	95
708	62423	2346
709	665782673992201	25003993164540
710	1279	48
711	80	3
712	1601	60
713	5286367	197976
714	4115	154
715	75646	2829
716	35115719688199	1312336060110
717	6998399	261360
718	8933399183036079503	333391496474140716
719	403480310400	15047276489
720	161	6
721	18632176943292415	693898530122112
722	22619537	841812
723	242	9
724	2469645423824185801	91783649341730970
725	9801	364
726	485	18
727	728	27
728	27	1
730	1459	54
731	730	27
732	487	18
733	195307849	7213860
734	10394175	383656
735	244	9
736	24335	897
737	252975383	9318468
738	163	6
739	98015661073616742153890	3605564376516452758671
740	9249	340
741	7352695	270108
742	263091151	9658380
743	714024	26195
744	7501	275
745	12769001	467820
746	61268974069299	2243216519470
747	82	3
748	5658247	206886
749	1084616384895	39631020176
750	2550251	93122
751	7293318466794882424418960	266136970677206024456793
752	4607	168
753	308526027863	11243313484
754	836977699	30480930
755	1209	44
756	55	2
757	3750107388553	136299971388
758	413959717	15035694
759	551	20
760	52021	1887
761	1280001	46400
762	6349	230
763	719724601	26055780
764	161784071999999	5853142302000
765	285769	10332
766	145933611945744638015	5272795728865625208
767	31212	1127
768	18817	679
769	535781868388881310859702308423201	19320788325040337217824455505160
770	111	4
771	2989136930	107651137
772	6224323426849	224018302020
773	3607394696649	129748968980
774	10405	374
775	4620799	165984
776	195	7
777	223	8
778	5964562960504723	213839942395674
779	11785490	422259
780	391	14
781	67606199	2419140
782	783	28
783	28	1
785	1569	56
786	785	28
787	34625394242	1234262007
788	393	14
789	16116667272575	573768548496
790	6616066879	235389096
791	225	8
792	197	7
793	4393	156
794	1828310451	64884310
795	6626	235
796	529178298454520220799	18756227493635055480
797	1221759532448649	43276943002540
798	113	4
799	424	15
800	19601	693
801	500002000001	17666702000
802	295496099	10434330
803	7226	255
804	515095	18166
805	1514868641	53392104
806	6166395	217202
807	51841948	1824923
808	19731763	694161
809	376455160998025676163201	13235458622462202510640
810	27379	962
811	1382072163578616410	48531117622921197
812	57	2
813	2167	76
814	4206992174549	147454999410
815	156644	5487
816	4999	175
817	343	12
818	40899	1430
819	1574	55
820	39689	1386
821	9000987377460935993101449	314136625452886403879740
822	7397	258
823	235170474903644006168	8197527430497636651
824	59535	2074
825	48599	1692
826	222239304685	7732694382
827	900602	31317
828	1151	40
829	479835713751049	16665383182260
830	146411	5082
831	9799705	339948
832	842401	29205
833	9478657	328416
834	6552578705	226897244
835	34336355806	1188258591
836	46551	1610
837	12151	420
838	42112785797	1454762046
839	840	29
840	29	1
842	1683	58
843	842	29
844	154962314660167628644999	5334022845973817148450
845	299537289	10304396
846	2143295	73688
847	8193151	281520
848	66249	2275
849	1501654712948695	51536656330476
850	2449	84
851	8418574	288585
852	194399	6660
853	215454135724113414336120649	7377009103065498851032020
854	1294299	44290
855	3041	104
856	695359189925	23766887823
857	131822292741249	4502963741200
858	703	24
859	2058844771979643060124010	70246877103894937291269
860	3871	132
861	541601801	18457740
862	358022566147312125503	12194296994921665128
863	18524026608	630565199
864	470449	16005
865	242688628535063329	8251660923733224
866	42435	1442
867	70226	2385
868	3844063	130476
869	60192738698751	2041898807200
870	59	2
871	19442812076	658794555
872	126003	4267
873	62809633	2125784
874	3725	126
875	120126	4061
876	10951	370
877	116476476553	3933131148
878	9314703	314356
879	107245324	3617295
880	89	3
881	22606256615916825861249	761624136944072910800
882	19601	660
883	34878475759617272473442	1173754162936357802169
884	1665	56
885	119	4
886	7743524593057655851637765	260148796464024194850378
887	469224	15755
888	149	5
889	13231974717803657215	443786188413453504
890	179	6
891	3970	133
892	100351	3360
893	6091434999	203842100
894	299	10
895	359	12
896	449	15
897	599	20
898	899	30
899	30	1
901	1801	60
902	901	30
903	601	20
904	451	15
905	361	12
906	301	10
907	123823410343073497682	4111488857741309517
908	102151	3390
909	80801	2680
910	181	6
911	371832584927520	12319363142953
912	151	5
913	515734243080407	17068312251564
914	62563299	2069410
915	121	4
916	5848201	193230
917	823604599	27197820
918	4120901	136010
919	4481603010937119451551263720	147834442396536759781499589
920	91	3
921	2522057712835735	83104627139412
922	351605368773852499	11579506138834350
923	638	21
924	11551	380
925	1555849	51156
926	304560297142335	10008472361032
927	227528	7473
928	768555217	25229061
929	13224937103288377430049	433896111669844912840
930	61	2
931	6681448801	218975640
932	1072400673	35127652
933	75263	2464
934	3034565	99294
935	1376	45
936	5201	170
937	480644425002415999597113107233	15701968936415353889062192632
938	17151	560
939	122695	4004
940	4231	138
941	1068924905989944201	34845956052079180
942	106133	3458
943	737	24
944	561799	18285
945	275561	8964
946	45225786400145	1470417148788
947	13509645362	439004487
948	228151	7410
949	609622436806639069525576201	19789181711517243032971740
950	202501	6570
951	224208076	7270445
952	11663	378
953	15090531843660371073	488830275367615376
954	32080051	1038630
955	2095256249	67800900
956	76759023628799	2482564242480
957	14849	480
958	16762522330425599	541572514048560
959	960	31
960	31	1
962	1923	62
963	962	31
964	10085143557001249	324820602522300
965	446526729	14374204
966	57499	1850
967	4649532557817485528	149518887194649693
968	19601	630
969	13588951	436540
970	215395035859	6915917802
971	12479806786330	400496058813
972	9863382151	316368130
973	903223	28956
974	488825745235215	15662987185124
975	1249	40
976	1766319049	56538495
977	108832847723078562849	3481871275306470280
978	118337	3784
979	360449	11520
980	51841	1656
981	158070671986249	5046808151700
982	8837	282
983	284088	9061
984	88805	2831
985	332929	10608
986	49299	1570
987	377	12
988	14549450527	462879684
989	550271588560695	17497618534396
990	881	28
991	379516400906811930638014896080	12055735790331359447442538767
992	63	2
993	2647	84
994	1135	36
995	8835999	280120
996	8553815	271038
997	14418057673	456624468
998	984076901	31150410
999	102688615	3248924
1000	39480499	1248483
