Hercher/Diophantine collision comparison, m=92..200
Source: research/sources/hercher-2023-no-collatz-m-cycles-jis-published.full.md, Corollary 24 Table 1, lines 1188-1212
H(m) is the exact Hercher lower bound on K (odd members), not x_min.
Float columns are numerical evidence; c_0 is symbolic in the formula.

m | H(m)=H_K(m) exact | source line | log10(threshold) symbolic | log10(threshold), c0=1 | deficit
130 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.531682639241 | -0.138563213834
131 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.560356199135 | -0.109889653939
132 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.588811707034 | -0.081434146040
133 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.617052454337 | -0.053193398737
134 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.645081658476 | -0.025164194598
135 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.672902465118 |  0.002656612044
136 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.700517950283 |  0.030272097208
137 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.727931122384 |  0.057685269310
138 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.755144924198 |  0.084899071124
139 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.782162234754 |  0.111916381680
140 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.808985871168 |  0.138740018094
141 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.835618590404 |  0.165372737329
142 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.862063090969 |  0.191817237895
143 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.888322014564 |  0.218076161490
144 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.914397947657 |  0.244152094583
145 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.940293423021 |  0.270047569947
146 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.966010921204 |  0.295765068129
147 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  18.991552871955 |  0.321307018881
148 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.016921655608 |  0.346675802534
149 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.042119604405 |  0.371873751331
150 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.067149003789 |  0.396903150714
151 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.092012093643 |  0.421766240569
152 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.116711069497 |  0.446465216423
153 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.141248083689 |  0.471002230615
154 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.165625246492 |  0.495379393418
155 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.189844627200 |  0.519598774126
156 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.213908255187 |  0.543662402113
157 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.237818120923 |  0.567572267849
158 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.261576176964 |  0.591330323890
159 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.285184338910 |  0.614938485836
160 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.308644486328 |  0.638398633254
161 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.331958463655 |  0.661712610581
162 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.355128081064 |  0.684882227990
163 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.378155115309 |  0.707909262235
164 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.401041310544 |  0.730795457470
165 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.423788379112 |  0.753542526038
166 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.446398002318 |  0.776152149244
167 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.468871831172 |  0.798625978098
168 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.491211487115 |  0.820965634041
169 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.513418562716 |  0.843172709642
170 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.535494622360 |  0.865248769286
171 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.557441202904 |  0.887195349829
172 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.579259814320 |  0.909013961246
173 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.600951940323 |  0.930706087248
174 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.622519038968 |  0.952273185894
175 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.643962543246 |  0.973716690172
176 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.665283861652 |  0.995038008577
177 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.686484378738 |  1.016238525664
178 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.707565455658 |  1.037319602584
179 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.728528430688 |  1.058282577613
180 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.749374619735 |  1.079128766661
181 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.770105316838 |  1.099859463764
182 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.790721794644 |  1.120475941570
183 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.811225304882 |  1.140979451808
184 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.831617078815 |  1.161371225741
185 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.851898327685 |  1.181652474611
186 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.872070243146 |  1.201824390072
187 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.892133997683 |  1.221888144609
188 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.912090745021 |  1.241844891947
189 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.931941620521 |  1.261695767447
190 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.951687741574 |  1.281441888500
191 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.971330207971 |  1.301084354897
192 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  19.990870102275 |  1.320624249200
193 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.010308490176 |  1.340062637102
194 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.029646420844 |  1.359400567770
195 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.048884927264 |  1.378639074190
196 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.068025026572 |  1.397779173498
197 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.087067720373 |  1.416821867299
198 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.106013995058 |  1.435768141984
199 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.124864822111 |  1.454618969037
200 |  4680000000000000000 |        1194 | log10(3*log2) - log10(c_0) + 8.616*log10(m)                    |  20.143621158406 |  1.473375305332

min deficit = -2.651919085084 (at m=92)
max deficit = 1.473375305332 (at m=200)
Trend over m=92..200: deficit grows strictly with m. Within a constant-H interval log10(threshold) increases as 8.616*log10(m), and at the table step 116 -> 117 H drops from 7.76e19 to 2.74e19 so log10(H) falls and the deficit jumps up again. Min deficit -2.6519 at m=92, max +1.4734 at m=200.
